name,handedness,height,weight,avg,HR,cat
Derrel Thomas,B,72,160,0.249,43,['excellent']
Art Howe,R,74,190,0.26,43,['excellent']
Ike Brown,R,72,190,0.256,20,['excellent']
Howie Goss,R,76,204,0.21600000000000003,11,['poor']
Glenn Borgmann,R,76,210,0.22899999999999998,16,['average']
Lamar Johnson,R,74,215,0.287,64,['excellent']
Julio Gonzalez,R,71,162,0.235,4,['poor']
Bobby Klaus,R,70,170,0.20800000000000002,6,['poor']
Manny Sanguillen,R,72,193,0.29600000000000004,65,['excellent']
Gates Brown,L,71,220,0.257,84,['excellent']
Johnny Ray,B,71,170,0.29,53,['excellent']
Jesus Alou,R,74,190,0.28,32,['excellent']
Ken Landreaux,L,70,165,0.268,91,['excellent']
Enos Cabell,R,76,170,0.27699999999999997,60,['excellent']
Roy Branch,R,72,175,0.0,0,['poor']
Billy North,B,71,185,0.261,20,['excellent']
Juan Beniquez,R,71,150,0.27399999999999997,79,['excellent']
Frank Fernandez,R,72,185,0.19899999999999998,39,['average']
Bombo Rivera,R,70,187,0.265,10,['good']
Steve Brye,R,72,190,0.258,30,['excellent']
Ron Jackson,R,72,200,0.259,56,['excellent']
Roger Metzger,B,72,165,0.231,5,['poor']
Rufino Linares,R,72,170,0.27,11,['good']
Ray Webster,L,72,185,0.244,17,['excellent']
Bob Kearney,R,72,190,0.233,27,['average']
Fergie Jenkins,R,77,205,0.165,13,['poor']
Dick Dietz,R,73,195,0.261,66,['excellent']
Ted Cox,R,75,195,0.245,10,['good']
Bobby Mitchell,L,70,170,0.243,3,['good']
Bobby Mitchell,R,75,185,0.235,21,['average']
Barry Evans,R,73,180,0.251,2,['good']
Mickey Brantley,R,70,180,0.259,32,['excellent']
Al Gallagher,R,72,180,0.263,11,['good']
Rob Woodward,R,75,185,0.0,0,['poor']
Hector Cruz,R,71,170,0.225,39,['average']
Fred Norman,B,68,155,0.125,0,['poor']
Woody Woodward,R,74,180,0.23600000000000002,1,['poor']
Ted Martinez,R,72,165,0.24,7,['good']
Jim Anderson,R,72,170,0.218,13,['poor']
Lenn Sakata,R,69,160,0.23,25,['average']
Dave Duncan,R,74,190,0.214,109,['average']
Randy Jones,R,72,178,0.132,0,['poor']
Dick Billings,R,73,195,0.22699999999999998,16,['average']
Bob Veselic,R,72,175,0.0,0,['poor']
Bruce Bochte,L,75,195,0.282,100,['excellent']
Bernie Carbo,L,71,173,0.264,96,['excellent']
Vic Davalillo,L,67,150,0.27899999999999997,36,['excellent']
Burt Hooton,R,73,210,0.12300000000000001,4,['poor']
Chuck Hockenbery,B,73,195,0.0,0,['poor']
Bob Ferris,R,78,225,0.0,0,['poor']
Fernando Gonzalez,R,70,165,0.235,17,['average']
Jim Sundberg,R,72,190,0.248,95,['excellent']
Andy Kosco,R,75,205,0.23600000000000002,73,['average']
Steve Huntz,B,73,204,0.20600000000000002,16,['average']
Gary Wheelock,R,75,205,0.0,0,['poor']
Lenny Faedo,R,72,170,0.251,5,['good']
John Lowenstein,L,72,175,0.253,116,['excellent']
Don Kessinger,B,73,170,0.252,14,['good']
Joe Hague,L,72,195,0.239,40,['excellent']
Bake McBride,L,74,190,0.299,63,['excellent']
Dick Davis,R,75,190,0.265,27,['excellent']
Richie Scheinblum,B,73,180,0.263,13,['good']
Ed Herrmann,L,73,195,0.24,80,['excellent']
Mike Rochford,L,76,205,0.0,0,['poor']
Jeff Schneider,B,75,195,0.0,0,['poor']
Bob Molinaro,L,72,190,0.264,14,['good']
Mike Hegan,L,73,188,0.242,53,['excellent']
Mike Diaz,R,74,195,0.247,31,['excellent']
Tim Foli,R,72,179,0.251,25,['excellent']
Alan Knicely,R,72,190,0.213,12,['poor']
Tim Laudner,R,75,212,0.225,77,['average']
Jose Morales,R,71,187,0.287,26,['excellent']
Luis Encarnacion,R,70,178,0.0,0,['poor']
Rick Kreuger,R,74,185,0.0,0,['poor']
Juan Marichal,R,72,185,0.165,4,['poor']
Vida Blue,B,72,189,0.10400000000000001,4,['poor']
Angel Moreno,L,69,165,0.0,0,['poor']
Roger Weaver,R,75,190,0.0,0,['poor']
Stan Papi,R,72,170,0.218,7,['poor']
Rob Wilfong,L,73,180,0.248,39,['excellent']
Chris Knapp,R,77,195,0.0,0,['poor']
Steve Henderson,R,74,190,0.28,68,['excellent']
Rob Picciolo,R,74,185,0.23399999999999999,17,['average']
Don Welchel,R,76,205,0.0,0,['poor']
Randy Wiles,L,73,185,0.0,0,['poor']
Roberto Pena,R,68,170,0.245,13,['good']
Bob Dernier,R,72,160,0.255,23,['excellent']
Bill Melton,R,74,200,0.253,160,['excellent']
Albert Hall,B,71,155,0.251,5,['good']
Barbaro Garbey,R,70,170,0.267,11,['good']
John Milner,L,72,185,0.249,131,['excellent']
Rich Reese,L,75,185,0.253,52,['excellent']
Chris Bando,B,72,195,0.22699999999999998,27,['average']
Bill Buckner,L,72,185,0.289,174,['excellent']
Jack Hiatt,R,74,190,0.251,22,['excellent']
Nelson Mathews,R,76,195,0.223,22,['average']
Larry Lintz,B,69,150,0.22699999999999998,0,['poor']
Ron Theobald,R,68,165,0.248,2,['good']
Dewey Robinson,R,72,180,0.0,0,['poor']
Rafael Santana,R,73,165,0.24600000000000002,13,['good']
Jerry Hairston,B,70,170,0.258,30,['excellent']
Tony Arnold,R,71,170,0.0,0,['poor']
Jeff Schattinger,L,77,200,0.0,0,['poor']
